ano,mes,data,plataforma,perfil,categoria,tipo_conteudo,seguidores,curtidas,comentarios,compartilhamentos,visualizacoes,alcance,taxa_engajamento,horario_publicacao
2015,1,2015-01-01,Facebook,TechBrasil,Tecnologia,Imagem,18649,72584,3345,6924,582974,817579,6.6,21:00
2015,1,2015-01-01,TikTok,EducaOnline,Entretenimento,Imagem,40776,76262,1521,4413,218363,1602332,4.48,08:00
2015,1,2015-01-01,X,EducaOnline,Tecnologia,Vídeo,827736,65921,4456,9075,1226158,1418010,6.42,18:00
2015,1,2015-01-01,Instagram,EducaOnline,Entretenimento,Live,33994,39783,1153,9055,818443,577722,7.13,08:00
2015,1,2015-01-01,LinkedIn,GamesBR,Entretenimento,Imagem,183807,16092,4951,1353,1687120,2416012,2.75,21:00
2015,1,2015-01-01,YouTube,GamesBR,Games,Live,101772,2810,2809,1974,993893,48459,3.27,18:00
2015,1,2015-01-01,YouTube,EducaOnline,Educação,Stories,306916,65839,4144,6861,983430,1257375,8.89,12:00
2015,1,2015-01-01,Facebook,EducaOnline,Tecnologia,Imagem,213065,49616,873,8442,1808202,1815809,0.69,21:00
2015,1,2015-01-01,X,TechBrasil,Tecnologia,Live,672604,24605,3798,864,312199,576938,10.21,08:00
2015,1,2015-01-01,Facebook,GamesBR,Entretenimento,Live,201389,43403,3091,6631,1611886,1267383,6.21,08:00
2015,1,2015-01-01,Facebook,TechBrasil,Educação,Stories,768962,78753,1785,6641,1127333,2313898,3.74,12:00
2015,1,2015-01-01,X,TechBrasil,Educação,Live,396282,45172,3861,6391,1082226,1939512,0.87,12:00
2015,1,2015-01-01,Instagram,EducaOnline,Tecnologia,Carrossel,775039,59802,2863,4426,1425767,26513,4.52,12:00
2015,1,2015-01-01,YouTube,ModaHoje,Tecnologia,Vídeo,315331,20799,3623,2002,1406643,1636195,8.18,08:00
2015,1,2015-01-01,YouTube,EducaOnline,Educação,Imagem,909156,60176,4949,9444,14442,1674166,4.03,21:00
2015,1,2015-01-01,X,GamesBR,Entretenimento,Live,561477,75643,255,2720,441994,293774,7.49,21:00
2015,1,2015-01-01,X,TechBrasil,Games,Imagem,208480,49705,399,7779,990567,951105,3.42,12:00
2015,1,2015-01-01,LinkedIn,TechBrasil,Entretenimento,Stories,980313,22593,1141,6565,266880,874293,4.07,08:00
2015,1,2015-01-01,Facebook,ModaHoje,Entretenimento,Live,172918,78878,2395,7623,1880203,2070349,9.36,18:00
2015,1,2015-01-01,Instagram,ModaHoje,Tecnologia,Live,66869,79092,2859,4801,1971161,1135964,3.25,12:00
2015,2,2015-02-01,Facebook,ModaHoje,Educação,Imagem,30217,76874,4910,4154,1938003,914957,1.2,21:00
2015,2,2015-02-01,TikTok,ModaHoje,Educação,Imagem,835544,69819,1414,773,573050,420237,6.12,18:00
2015,2,2015-02-01,Facebook,TechBrasil,Entretenimento,Stories,208155,41027,3056,6859,1976607,1415037,11.66,08:00
2015,2,2015-02-01,X,GamesBR,Games,Imagem,667430,30642,1641,258,1892911,2360132,8.17,08:00
2015,2,2015-02-01,Instagram,GamesBR,Educação,Vídeo,335934,54131,457,941,675413,794320,1.83,18:00
2015,2,2015-02-01,YouTube,TechBrasil,Games,Imagem,550845,65605,649,505,425026,2460507,1.26,12:00
2015,2,2015-02-01,Facebook,EducaOnline,Educação,Carrossel,180481,17930,469,4772,88590,334004,9.74,21:00
2015,2,2015-02-01,YouTube,GamesBR,Educação,Imagem,380979,50308,673,4597,1140951,1572700,3.96,18:00
2015,2,2015-02-01,YouTube,ModaHoje,Educação,Stories,891670,60903,4337,6382,112449,151774,5.91,08:00
2015,2,2015-02-01,LinkedIn,ModaHoje,Games,Carrossel,100781,10119,2175,2188,1969702,1506887,10.42,12:00
2015,2,2015-02-01,Facebook,EducaOnline,Tecnologia,Imagem,51006,64287,2309,6010,1630243,2464093,11.6,18:00
2015,2,2015-02-01,Instagram,TechBrasil,Educação,Carrossel,560825,10901,4560,8795,758786,1067558,4.85,18:00
2015,2,2015-02-01,LinkedIn,EducaOnline,Tecnologia,Stories,284037,31530,112,7333,1028785,1388561,1.05,18:00
2015,2,2015-02-01,YouTube,ModaHoje,Tecnologia,Imagem,222054,18842,4737,7636,37313,2408507,11.02,12:00
2015,2,2015-02-01,Facebook,EducaOnline,Educação,Vídeo,778005,64955,865,2634,1824485,1264818,5.86,08:00
2015,2,2015-02-01,Facebook,GamesBR,Educação,Imagem,611642,1488,2151,9655,19226,1484524,5.76,12:00
2015,2,2015-02-01,X,EducaOnline,Entretenimento,Live,463845,59471,1087,1911,35386,190052,1.76,08:00
2015,2,2015-02-01,Instagram,ModaHoje,Tecnologia,Imagem,85827,20987,3533,7792,1513992,509098,10.31,08:00
2015,2,2015-02-01,Instagram,TechBrasil,Tecnologia,Imagem,510104,41573,4553,7034,1830377,1975457,4.26,08:00
2015,2,2015-02-01,TikTok,TechBrasil,Tecnologia,Carrossel,402896,31617,2481,4929,1566234,2468631,10.43,08:00
2015,2,2015-02-01,Instagram,ModaHoje,Tecnologia,Live,159861,54452,1234,6345,1901150,1386589,2.08,08:00
2015,2,2015-02-01,LinkedIn,TechBrasil,Games,Live,386584,16505,2814,3187,1751276,382251,10.53,21:00
2015,2,2015-02-01,Facebook,ModaHoje,Games,Live,649498,16257,3920,5534,1628481,1396405,2.05,18:00
2015,2,2015-02-01,TikTok,GamesBR,Entretenimento,Live,654246,74350,1081,1998,459283,1956343,8.63,21:00
2015,2,2015-02-01,YouTube,EducaOnline,Educação,Live,571243,24918,2191,4242,388914,1298111,1.45,08:00
2015,2,2015-02-01,Instagram,EducaOnline,Entretenimento,Vídeo,865237,63503,4582,1015,1455733,212237,0.92,21:00
2015,2,2015-02-01,LinkedIn,EducaOnline,Games,Vídeo,902428,47679,101,2314,368961,2169695,8.58,08:00
2015,2,2015-02-01,Instagram,ModaHoje,Tecnologia,Stories,50109,12305,649,5850,1184619,2347553,7.61,21:00
2015,2,2015-02-01,Facebook,EducaOnline,Entretenimento,Stories,387794,18552,4125,8245,304186,2205361,5.14,21:00
2015,2,2015-02-01,TikTok,ModaHoje,Tecnologia,Live,194900,5863,2421,2467,1148216,1929960,5.87,18:00
2015,2,2015-02-01,YouTube,TechBrasil,Entretenimento,Vídeo,137334,27394,1457,2159,895065,1780368,5.14,21:00
2015,2,2015-02-01,TikTok,GamesBR,Tecnologia,Stories,943446,50640,4024,8624,122537,1830764,3.73,21:00
2015,2,2015-02-01,X,ModaHoje,Educação,Carrossel,93674,14913,1999,7213,1368620,1978032,2.65,18:00
2015,2,2015-02-01,Instagram,EducaOnline,Educação,Stories,961596,66351,1649,2555,786783,2343987,1.91,12:00
2015,2,2015-02-01,TikTok,ModaHoje,Entretenimento,Stories,70556,31966,2681,9394,1459692,2021855,5.64,21:00
2015,2,2015-02-01,Instagram,GamesBR,Games,Live,933650,73056,188,154,1695082,1558927,7.92,18:00
2015,2,2015-02-01,YouTube,EducaOnline,Tecnologia,Live,26206,36544,2635,974,446348,1285815,8.2,08:00
2015,3,2015-03-01,Instagram,GamesBR,Entretenimento,Live,159158,52435,4542,8517,113205,1688535,8.92,21:00
2015,3,2015-03-01,Facebook,GamesBR,Educação,Stories,999006,60332,3126,7177,324826,629591,11.83,21:00
2015,3,2015-03-01,TikTok,GamesBR,Games,Stories,87571,18755,2771,9081,712149,291422,8.35,18:00
2015,3,2015-03-01,Instagram,EducaOnline,Educação,Live,368615,34856,1238,9426,906476,2119859,3.13,21:00
2015,3,2015-03-01,Instagram,EducaOnline,Entretenimento,Live,750047,28304,4360,9639,727631,2119415,5.7,12:00
2015,3,2015-03-01,Instagram,TechBrasil,Entretenimento,Carrossel,788666,68827,1564,404,687608,215355,1.14,08:00
2015,3,2015-03-01,Facebook,EducaOnline,Educação,Vídeo,632138,62218,1920,1217,1502609,1596820,1.94,12:00
2015,3,2015-03-01,YouTube,TechBrasil,Games,Stories,331034,38793,1209,659,1067215,2383483,2.53,18:00
2015,3,2015-03-01,YouTube,GamesBR,Tecnologia,Stories,421513,17821,1592,6003,694047,1676303,10.1,08:00
2015,3,2015-03-01,Instagram,TechBrasil,Entretenimento,Carrossel,176174,6971,4157,1467,360377,2389303,4.13,18:00
2015,3,2015-03-01,LinkedIn,EducaOnline,Entretenimento,Carrossel,649056,51210,3701,50,1406112,2280422,1.97,12:00
2015,3,2015-03-01,LinkedIn,GamesBR,Tecnologia,Imagem,189979,39316,248,7497,732612,1765827,10.94,21:00
2015,3,2015-03-01,LinkedIn,EducaOnline,Games,Carrossel,787011,19940,1918,7099,1653355,944989,4.66,08:00
2015,3,2015-03-01,Facebook,ModaHoje,Games,Stories,493389,49233,2906,8411,248499,381607,10.56,18:00
2015,3,2015-03-01,X,GamesBR,Games,Stories,215171,54588,881,3267,161204,813548,1.43,08:00
2015,3,2015-03-01,Facebook,EducaOnline,Entretenimento,Stories,15062,54934,4841,1861,1888589,1748463,11.8,21:00
2015,3,2015-03-01,X,TechBrasil,Educação,Live,143300,30094,363,8665,249762,898435,6.34,12:00
2015,3,2015-03-01,LinkedIn,EducaOnline,Games,Vídeo,66295,36722,2684,9327,1021196,706483,6.94,18:00
2015,3,2015-03-01,TikTok,ModaHoje,Educação,Vídeo,293726,46666,465,6311,1441219,1548112,2.62,08:00
2015,3,2015-03-01,X,ModaHoje,Entretenimento,Carrossel,344000,5165,3315,2638,138088,1970875,11.63,12:00
2015,3,2015-03-01,YouTube,TechBrasil,Tecnologia,Stories,454643,14373,1368,4597,1655124,588328,3.54,08:00
2015,3,2015-03-01,X,GamesBR,Tecnologia,Carrossel,178689,30232,1580,1394,668334,451766,5.93,18:00
2015,3,2015-03-01,Facebook,TechBrasil,Educação,Carrossel,170617,65153,2745,9204,232051,2236505,11.93,18:00
2015,3,2015-03-01,Instagram,ModaHoje,Entretenimento,Live,6515,41143,889,1715,286712,2366622,1.22,18:00
2015,3,2015-03-01,Facebook,GamesBR,Entretenimento,Carrossel,21773,29262,4538,7818,370852,2362714,2.32,12:00
2015,3,2015-03-01,TikTok,TechBrasil,Entretenimento,Imagem,88718,65057,1752,8494,1684800,1131834,1.01,12:00
2015,3,2015-03-01,LinkedIn,TechBrasil,Games,Stories,367324,32725,1413,7844,1567714,941519,4.28,12:00
2015,3,2015-03-01,Facebook,TechBrasil,Entretenimento,Stories,766381,75475,2830,2584,1448136,1095382,0.91,08:00
2015,3,2015-03-01,LinkedIn,GamesBR,Games,Imagem,669823,62902,2551,6766,1876238,2223219,11.65,12:00
2015,3,2015-03-01,LinkedIn,TechBrasil,Entretenimento,Carrossel,190530,38517,2660,9954,1416998,1333706,5.29,12:00
2015,3,2015-03-01,X,TechBrasil,Games,Live,327867,76450,1469,7570,930704,1467725,6.21,18:00
2015,3,2015-03-01,Instagram,TechBrasil,Games,Live,193042,72297,1355,5758,388241,1634678,10.66,21:00
2015,3,2015-03-01,Instagram,EducaOnline,Entretenimento,Stories,430552,70916,3784,2647,988939,1839608,2.44,08:00
2015,3,2015-03-01,LinkedIn,GamesBR,Educação,Carrossel,970646,19909,1288,4210,250079,447376,3.17,18:00
2015,3,2015-03-01,LinkedIn,GamesBR,Tecnologia,Imagem,822408,12085,3161,3040,329138,602797,0.52,18:00
2015,3,2015-03-01,YouTube,ModaHoje,Entretenimento,Imagem,56579,5743,2645,595,1851421,391865,6.1,08:00
2015,3,2015-03-01,Facebook,EducaOnline,Educação,Carrossel,198888,74405,98,1749,1181462,1975698,5.02,18:00
2015,4,2015-04-01,LinkedIn,TechBrasil,Games,Imagem,105980,66950,3464,4021,1453854,1637599,6.59,18:00
2015,4,2015-04-01,Instagram,TechBrasil,Educação,Vídeo,978471,36781,4373,1440,307687,960368,4.69,08:00
2015,4,2015-04-01,TikTok,GamesBR,Tecnologia,Carrossel,593016,59311,2949,8229,1064229,1890539,4.07,08:00
2015,4,2015-04-01,Facebook,GamesBR,Games,Live,263004,21825,1280,2057,621815,91991,5.48,08:00
2015,4,2015-04-01,YouTube,ModaHoje,Entretenimento,Imagem,525258,31327,1762,9712,1202612,211242,0.69,18:00
2015,4,2015-04-01,TikTok,EducaOnline,Entretenimento,Stories,52801,43664,1350,9363,967438,2372626,7.33,12:00
2015,4,2015-04-01,YouTube,EducaOnline,Tecnologia,Imagem,742928,5450,4192,8170,1578216,352381,11.66,21:00
2015,4,2015-04-01,Facebook,EducaOnline,Tecnologia,Vídeo,655280,79951,2712,3559,1998227,503435,1.28,18:00
2015,4,2015-04-01,Facebook,ModaHoje,Games,Carrossel,181451,47868,1017,4417,1488787,75461,8.74,18:00
2015,4,2015-04-01,LinkedIn,GamesBR,Entretenimento,Live,143356,57901,787,4666,13413,1899529,1.06,12:00
2015,4,2015-04-01,LinkedIn,TechBrasil,Games,Vídeo,739634,11725,1621,8533,1590322,608702,9.64,08:00
2015,4,2015-04-01,X,GamesBR,Educação,Vídeo,606182,56125,313,3404,1887634,311893,3.57,12:00
2015,4,2015-04-01,X,TechBrasil,Tecnologia,Vídeo,893034,34348,2327,6071,1161904,191915,6.19,08:00
2015,4,2015-04-01,TikTok,GamesBR,Games,Vídeo,988923,41159,3727,6054,737158,365285,10.14,21:00
2015,4,2015-04-01,Instagram,ModaHoje,Entretenimento,Stories,81840,1325,1620,6682,453443,419221,10.77,18:00
2015,4,2015-04-01,YouTube,EducaOnline,Educação,Carrossel,865964,18314,2082,9035,1793496,505763,7.11,08:00
2015,4,2015-04-01,LinkedIn,TechBrasil,Educação,Stories,759948,22165,3684,4601,949298,1660103,9.51,08:00
2015,4,2015-04-01,X,GamesBR,Educação,Imagem,537246,18934,1462,4133,1624832,2059158,2.27,12:00
2015,4,2015-04-01,TikTok,GamesBR,Educação,Vídeo,556992,31064,2569,7262,1230495,1807601,1.52,12:00
2015,4,2015-04-01,Facebook,TechBrasil,Tecnologia,Vídeo,540803,17702,1840,215,114506,24574,9.37,21:00
2015,4,2015-04-01,LinkedIn,TechBrasil,Games,Stories,443704,58496,4940,7045,1895670,2435529,6.49,18:00
2015,4,2015-04-01,LinkedIn,TechBrasil,Tecnologia,Stories,39771,15723,4348,2138,794320,767762,7.19,18:00
2015,4,2015-04-01,Facebook,GamesBR,Entretenimento,Imagem,741509,48161,4555,2101,936019,200604,4.55,08:00
2015,4,2015-04-01,TikTok,TechBrasil,Educação,Imagem,22960,28443,3596,2994,1593817,1312379,4.0,21:00
2015,4,2015-04-01,YouTube,GamesBR,Tecnologia,Vídeo,128876,29622,734,109,1067282,1880068,5.93,18:00
2015,4,2015-04-01,YouTube,ModaHoje,Tecnologia,Vídeo,93435,40990,2130,707,823798,540270,5.79,18:00
2015,4,2015-04-01,YouTube,EducaOnline,Entretenimento,Imagem,750124,73026,1871,3262,1814629,479573,4.43,08:00
2015,4,2015-04-01,X,GamesBR,Games,Stories,534390,67755,1422,3581,1541014,1502334,7.65,12:00
2015,4,2015-04-01,YouTube,GamesBR,Educação,Stories,976529,33195,4413,4151,1953388,281405,11.81,18:00
2015,4,2015-04-01,X,EducaOnline,Tecnologia,Live,158183,5377,3327,8854,1904867,1476274,3.31,12:00
2015,4,2015-04-01,LinkedIn,ModaHoje,Entretenimento,Carrossel,603063,72674,4320,6349,1972982,2019354,7.64,21:00
2015,4,2015-04-01,X,ModaHoje,Educação,Imagem,314660,3213,3767,9985,1581390,881750,1.87,18:00
2015,4,2015-04-01,X,TechBrasil,Educação,Vídeo,842589,8813,2326,7605,1125187,706195,7.63,08:00
2015,4,2015-04-01,YouTube,GamesBR,Educação,Live,192443,59010,3745,9538,921647,1865832,8.53,12:00
2015,4,2015-04-01,YouTube,EducaOnline,Games,Imagem,127252,76079,62,1462,1682145,984075,9.36,08:00
2015,4,2015-04-01,TikTok,TechBrasil,Games,Live,62519,10468,4350,2983,903694,2374256,8.75,21:00
2015,4,2015-04-01,Instagram,EducaOnline,Tecnologia,Imagem,606495,2933,4233,4716,1701211,712778,11.94,18:00
2015,5,2015-05-01,YouTube,TechBrasil,Entretenimento,Carrossel,373120,8292,4504,5994,1227662,2134752,11.13,12:00
2015,5,2015-05-01,Facebook,ModaHoje,Games,Carrossel,498353,74689,2092,5321,1191527,1058065,9.75,18:00
2015,5,2015-05-01,Facebook,TechBrasil,Games,Live,598962,41311,839,6694,1101886,940490,6.19,12:00
2015,5,2015-05-01,Facebook,GamesBR,Entretenimento,Live,253727,39427,2700,2238,1419312,699176,5.73,21:00
2015,5,2015-05-01,YouTube,EducaOnline,Educação,Vídeo,625861,51052,3216,4222,1129282,1629140,8.59,12:00
2015,5,2015-05-01,LinkedIn,GamesBR,Tecnologia,Stories,705643,65410,4575,1915,1707147,372217,8.67,21:00
2015,5,2015-05-01,X,ModaHoje,Entretenimento,Live,573737,32002,3885,3006,1574800,456429,7.93,08:00
2015,5,2015-05-01,LinkedIn,TechBrasil,Entretenimento,Imagem,303218,28654,2705,1868,221757,1971855,8.46,18:00
2015,5,2015-05-01,LinkedIn,ModaHoje,Tecnologia,Live,686239,43388,3028,7565,96216,92765,9.38,18:00
2015,5,2015-05-01,LinkedIn,TechBrasil,Games,Imagem,718860,2268,305,9870,146633,656127,7.38,12:00
2015,5,2015-05-01,Facebook,ModaHoje,Tecnologia,Stories,23951,6548,4704,9336,243304,531334,2.25,08:00
2015,5,2015-05-01,Instagram,ModaHoje,Educação,Stories,395051,38912,2411,658,1912388,395462,11.44,18:00
2015,5,2015-05-01,TikTok,TechBrasil,Educação,Carrossel,721952,58892,2925,4476,600080,848506,2.59,08:00
2015,5,2015-05-01,YouTube,GamesBR,Entretenimento,Carrossel,291613,18068,3666,6556,1537259,2009784,9.09,21:00
2015,5,2015-05-01,Instagram,EducaOnline,Entretenimento,Vídeo,280543,42030,3095,5245,1207038,621565,4.49,21:00
2015,5,2015-05-01,Instagram,TechBrasil,Educação,Imagem,754862,43811,2717,2446,1632113,1736655,4.27,08:00
2015,5,2015-05-01,YouTube,EducaOnline,Entretenimento,Live,507831,57039,1484,5479,1501099,2042742,5.75,08:00
2015,5,2015-05-01,YouTube,EducaOnline,Entretenimento,Live,319067,63857,477,7421,543276,1622677,8.74,08:00
2015,5,2015-05-01,YouTube,TechBrasil,Entretenimento,Carrossel,160518,43579,3388,5769,1304311,292768,0.86,08:00
2015,5,2015-05-01,X,EducaOnline,Educação,Stories,681838,73977,4149,9195,1407190,1143323,3.94,08:00
2015,5,2015-05-01,Instagram,EducaOnline,Games,Live,372395,28645,1875,2545,1062451,572604,6.26,08:00
2015,5,2015-05-01,Facebook,GamesBR,Tecnologia,Live,424584,26790,317,5963,1938426,1579527,2.95,08:00
2015,5,2015-05-01,YouTube,ModaHoje,Entretenimento,Stories,748115,29518,3944,9361,1932185,2249239,1.61,08:00
2015,5,2015-05-01,Instagram,GamesBR,Entretenimento,Vídeo,879256,9886,3679,4342,905791,1764293,4.35,21:00
2015,5,2015-05-01,LinkedIn,TechBrasil,Educação,Live,492511,24336,4746,6633,386321,1102868,3.89,18:00
2015,5,2015-05-01,TikTok,TechBrasil,Educação,Stories,494244,76699,1909,5672,1176263,1453289,8.93,12:00
2015,5,2015-05-01,TikTok,EducaOnline,Tecnologia,Imagem,911076,4298,636,8961,1019307,1116999,0.67,12:00
2015,5,2015-05-01,LinkedIn,GamesBR,Tecnologia,Vídeo,345134,67866,3608,4609,421688,2299482,9.16,18:00
2015,5,2015-05-01,Instagram,EducaOnline,Entretenimento,Carrossel,942699,41125,1490,9360,1196865,1590608,10.25,12:00
2015,5,2015-05-01,X,EducaOnline,Educação,Stories,446265,24864,1921,8502,1485443,599170,6.19,08:00
2015,5,2015-05-01,YouTube,ModaHoje,Educação,Vídeo,845448,36787,4786,4456,1535110,1621642,10.11,21:00
2015,5,2015-05-01,X,TechBrasil,Educação,Live,730452,37385,4510,9681,164465,943800,9.04,21:00
2015,5,2015-05-01,LinkedIn,ModaHoje,Tecnologia,Carrossel,213424,71193,2706,6863,1878716,2070917,3.52,12:00
2015,5,2015-05-01,X,TechBrasil,Games,Carrossel,487653,40135,3184,9407,1718495,744361,10.44,18:00
2015,5,2015-05-01,Instagram,GamesBR,Tecnologia,Live,573663,8551,69,9441,1863402,472673,2.88,21:00
2015,5,2015-05-01,LinkedIn,ModaHoje,Tecnologia,Live,374079,53793,1573,9184,960396,141342,10.45,12:00
2015,5,2015-05-01,TikTok,ModaHoje,Tecnologia,Imagem,802640,73677,2462,8803,1637479,2099265,11.78,08:00
2015,6,2015-06-01,TikTok,GamesBR,Educação,Imagem,418991,22202,4530,9022,1665421,2338313,8.02,21:00
2015,6,2015-06-01,YouTube,ModaHoje,Tecnologia,Stories,861904,46170,3971,9570,1835950,1455541,5.08,21:00
2015,6,2015-06-01,TikTok,GamesBR,Educação,Carrossel,117582,60408,576,5851,384658,453733,6.53,21:00
2015,6,2015-06-01,LinkedIn,EducaOnline,Educação,Stories,425321,78392,413,8727,532598,2407400,4.34,21:00
2015,6,2015-06-01,X,ModaHoje,Tecnologia,Imagem,932911,6168,238,4204,1348900,1488348,2.52,21:00
2015,6,2015-06-01,X,ModaHoje,Educação,Carrossel,82463,67733,160,3102,57378,648560,5.95,18:00
2015,6,2015-06-01,Facebook,TechBrasil,Games,Imagem,483955,15021,357,5030,199201,694877,10.98,08:00
2015,6,2015-06-01,TikTok,TechBrasil,Games,Vídeo,915326,6425,1538,6118,1559384,449772,3.9,21:00
2015,6,2015-06-01,TikTok,EducaOnline,Educação,Vídeo,507763,4129,1658,8808,441855,316148,10.06,21:00
2015,6,2015-06-01,Instagram,TechBrasil,Entretenimento,Live,561794,68104,1754,3538,844499,1654477,7.68,18:00
2015,6,2015-06-01,Facebook,EducaOnline,Tecnologia,Carrossel,768975,73569,4696,4741,987968,2441118,9.15,12:00
2015,6,2015-06-01,TikTok,ModaHoje,Entretenimento,Live,430740,4286,1677,4454,1701782,564069,3.34,18:00
2015,6,2015-06-01,Facebook,TechBrasil,Educação,Stories,615501,42331,4802,5512,209120,2252003,4.43,18:00
2015,6,2015-06-01,TikTok,EducaOnline,Educação,Vídeo,691002,22181,1306,6780,380546,155375,4.84,18:00
2015,6,2015-06-01,Facebook,ModaHoje,Entretenimento,Imagem,844757,22919,4394,440,644484,69905,8.13,12:00
2015,6,2015-06-01,Facebook,EducaOnline,Entretenimento,Imagem,205994,15705,4572,3820,1700219,1222551,6.63,18:00
2015,6,2015-06-01,Instagram,EducaOnline,Educação,Vídeo,259335,65688,4517,2831,1235658,1791675,2.31,18:00
2015,6,2015-06-01,LinkedIn,TechBrasil,Entretenimento,Imagem,329888,22769,1333,5668,299386,1867519,2.52,08:00
2015,6,2015-06-01,Facebook,GamesBR,Educação,Imagem,559663,49334,3562,5779,1060797,583893,10.32,21:00
2015,6,2015-06-01,X,EducaOnline,Tecnologia,Carrossel,160685,829,1413,6660,306643,572988,10.83,08:00
2015,6,2015-06-01,LinkedIn,EducaOnline,Entretenimento,Imagem,107408,6229,2914,4873,309211,1473692,11.93,21:00
2015,6,2015-06-01,X,TechBrasil,Educação,Carrossel,175175,36855,2111,6403,1482539,1617056,6.24,21:00
2015,6,2015-06-01,YouTube,TechBrasil,Entretenimento,Imagem,451776,14517,117,6243,190326,1447050,8.64,08:00
2015,6,2015-06-01,Facebook,ModaHoje,Entretenimento,Live,589767,61736,2088,4397,944677,1163254,8.04,12:00
2015,6,2015-06-01,X,ModaHoje,Educação,Stories,242252,25565,4918,8931,1663050,29003,5.87,18:00
2015,6,2015-06-01,Facebook,TechBrasil,Games,Vídeo,551820,51198,780,7905,1092982,185246,8.35,08:00
2015,6,2015-06-01,YouTube,ModaHoje,Entretenimento,Imagem,139286,55545,105,7499,359965,44729,6.49,08:00
2015,6,2015-06-01,YouTube,ModaHoje,Educação,Stories,19897,1223,4053,8639,964401,1003183,9.0,08:00
2015,6,2015-06-01,TikTok,EducaOnline,Games,Imagem,764406,31957,2587,7885,28124,1633945,9.2,12:00
2015,6,2015-06-01,Instagram,ModaHoje,Entretenimento,Carrossel,697311,25898,463,3863,1753113,1756731,1.9,08:00
2015,6,2015-06-01,YouTube,TechBrasil,Educação,Live,332832,52291,426,3561,157832,2433848,10.88,12:00
2015,6,2015-06-01,LinkedIn,EducaOnline,Games,Imagem,263219,21088,2852,94,611733,19163,11.94,21:00
2015,6,2015-06-01,TikTok,EducaOnline,Tecnologia,Carrossel,153668,21673,4049,3500,1158822,1142256,8.13,08:00
2015,6,2015-06-01,LinkedIn,TechBrasil,Games,Stories,591978,15588,266,8713,540857,746962,7.69,21:00
2015,6,2015-06-01,YouTube,ModaHoje,Educação,Carrossel,120309,22644,4605,2598,1618994,2472914,7.9,12:00
2015,6,2015-06-01,Instagram,EducaOnline,Entretenimento,Stories,141154,39916,2095,276,1306472,1611320,5.74,08:00
2015,6,2015-06-01,YouTube,ModaHoje,Entretenimento,Carrossel,374673,55527,429,7397,1419415,2430357,7.03,21:00
2015,7,2015-07-01,Instagram,EducaOnline,Games,Imagem,742726,57380,4018,7422,1577199,2348651,9.3,08:00
2015,7,2015-07-01,Facebook,EducaOnline,Games,Carrossel,314118,35823,1390,9314,651522,1422885,9.0,08:00
2015,7,2015-07-01,LinkedIn,ModaHoje,Entretenimento,Stories,346036,56415,1245,9611,917610,255407,6.5,18:00
2015,7,2015-07-01,X,GamesBR,Educação,Imagem,962601,12682,1198,2666,889833,1935801,3.73,21:00
2015,7,2015-07-01,X,ModaHoje,Educação,Vídeo,224419,65790,3142,4061,1327879,1928637,1.63,18:00
2015,7,2015-07-01,Instagram,EducaOnline,Educação,Imagem,71952,42334,4778,8472,821217,1429724,1.38,12:00
